U1132843960001980000906499800200000123123123AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL        
A220250411DINHEIRO                 1000000000400000000000000000000000000
A220250414DINHEIRO                 1000000001500000000000000000000000000
A220250415DINHEIRO                 1000000000600000000000000000000000000
A220250512DINHEIRO                 1000000002300000000000000000000000000
A220250514DINHEIRO                 1000000003700000000000000000000000000
A220250515DINHEIRO                 1000000003900000000000000000000000000
A220250520DINHEIRO                 1000000010500000000000000000000000000
A220250529DINHEIRO                 1000000000200000000000000000000000000
P21328439600019800000000001308000000010051000SEM MILHO PIONEER 32R22 VYH - DERMACOR+PONCHO     SC    ATN180000000000000100
P21328439600019800000000001309000000010051000SEM MILHO PIONEER 32R22 YHR                       SC    ATN180000000000000100
P21328439600019800000000001310000000010051000SEM MILHO PIONEER 32R22 YHR - DERMACOR+PONCHO     SC    ATN180000000000000100
P21328439600019800000000001311000000010051000SEM MILHO PIONEER 32R48 VYHR                      SC    ATN180000000000000100
P21328439600019800000000001312000000010051000SEM MILHO PIONEER 32R48 VYHR - DERMACOR+PONCHO    SC    ATN180000000000000100
P21328439600019800000000001313000000010051000SEM MILHO PIONEER 32R48 YH                        SC    ATN180000000000000100
P21328439600019800000000001314000000010051000SEM MILHO PIONEER 3340 VYH - DEMARCOR+PONCHO      SC    ATN180000000000000100
P21328439600019800000000001315000000010051000SEM MILHO PIONEER 3340 VYHR - DEMARCOR+PONCHO     SC    ATN180000000000000100
P21328439600019800000000001316000000010051000SEM MILHO PIONEER P 2501 + DEMACOR + PONCHO       SC    ATN180000000000000100
P21328439600019800000000001317000000010051000SEM MILHO PIONEER P 3380HR                        SC    ATN180000000000000100
P21328439600019800000000001318000000010051000SEM MILHO PIONEER P 3380HR DEMACOR+PONCHO         SC    ATN180000000000000000
P21328439600019800000000001319000000010051000SEM MILHO PIONEER P 3380HR PONCHO                 SC    ATN180000000000000100
P21328439600019800000000001320000000010051000SEM MILHO PIONEER P 3431 VYH D+P LEPTRA           SC    ATN180000000000000100
P21328439600019800000000001321000000010051000SEM MILHO PIONEER P1225 VYHR DEMACOR+PONCHO       SC    ATN180000000000000100
P21328439600019800000000001322000000010051000SEM MILHO PIONEER P1630 CV                        SC    ATN180000000000000100
P21328439600019800000000001323000000010051000SEM MILHO PIONEER P1630 CV - DERMACOR + PONCHO    SC    ATN180000000000000100
P21328439600019800000000001324000000010051000SEM MILHO PIONEER P1630 H - DERMACOR + PONCHO     SC    ATN180000000000000100
P21328439600019800000000001325000000010051000SEM MILHO PIONEER P1680 VYH - DERMACOR + PONCHO   SC    ATN180000000000000100
P21328439600019800000000001326000000010051000SEM MILHO PIONEER P3282 VYH D+P                   SC    ATN180000000000000100
P21328439600019800000000001327000000010051000SEM MILHO PIONEER P3565 PWU DEMACOR+PONCHO        SC    ATN180000000000000100
P21328439600019800000000001328000000010051000SEM MILHO PIONEER P3754 PWU - DEMARCOR+PONCHO     SC    ATN180000000000000100
P21328439600019800000000001329000000010051000SEM MILHO PIONEER P4285 VYHR                      SC    ATN180000000000000100
P21328439600019800000000001330000000010051000SEM MILHO PIONEER P4285 VYHR DERMACOR+PONCHO      SC    ATN180000000000000100
P21328439600019800000000001331000000010051000SEM MILHO PIONEER P4285 YHR                       SC    ATN180000000000000100
P21328439600019800000000001332000000010051000SEM MILHO PIONEER P4285R                          SC    ATN180000000000000100
P21328439600019800000000001333000000010051000SEM MILHO PIONEER P4285YHR + PONCHO               SC    ATN180000000000000100
P21328439600019800000000001334000000010051000SEM MILHO PIONEER X25K040 - TSI                   SC    ATN180000000000000000
P21328439600019800000000001335000000010051000SEM MILHO PIONEER X30K263VYHR                     SC    ATN180000000000000000
P21328439600019800000000001336000000010051000SEM MILHO PIONEER X35H203VYHR - TSI               SC    ATN180000000000000000
P21328439600019800000000001337000000010051000SEM MILHO PIONEER X35K086VYH                      SC    ATN180000000000000000
P21328439600019800000000001338000000010051000SEM MILHO PIONNER  2719 VYH + DERMACOR+PONCHO     SC    ATN180000000000000100
P21328439600019800000000001339000000010051000SEM MILHO PIONNER 32R22 VYHR DEMACOR+PONCHO       SC    ATN180000000000000100
P21328439600019800000000001340000000010051000SEM MILHO PIONNER 3380 HR+PONCHO                  SC    ATN180000000000000100
P21328439600019800000000001341000000010051000SEM MILHO PIONNER P3016 VYHR DEM+PON              SC    ATN180000000000000100
P21328439600019800000000001342000000010051000SEM MILHO PIONNER P4285 YHR DERMACOR+PONCHO       SC    ATN180000000000000100
P21328439600019800000000001343000000010051000SEM MILHO REFUGIO MAX 2200 RR2                    SC    ATN180000000000000100
P21328439600019800000000001344000000010051000SEM MILHO REFUGIO MAX 2300 RR2                    SC    ATN180000000000000100
P21328439600019800000000001345000000010051000SEM MILHO REFUGIO MAX 2300 RR2 PEN C2             SC    ATN180000000000000100
P21328439600019800000000001346000000010051000SEM MILHO REFUGIO MAX 3020 RR2                    SC    ATN180000000000000100
P21328439600019800000000001347000000010051000SEM MILHO REFUGIO MAX 3020 RR2 PEN R1M            SC    ATN180000000000000100
P21328439600019800000000001348000000010051000SEM MILHO REFUGIO MAX 3020 RR2 PEN R3             SC    ATN180000000000000100
P21328439600019800000000001349000000010051000SEM MILHO REFUGIO MAX 3110 RR2 PEN R3             SC    ATN180000000000000100
P21328439600019800000000001350000000010051000SEM MILHO REFUGIO MAX 3700 RR2                    SC    ATN180000000000000100
P21328439600019800000000001351000000010051000SEM MILHO REFUGIO MAX 3700 RR2 PEN R1M            SC    ATN180000000000000100
P21328439600019800000000001352000000010051000SEM MILHO REFUGIO MAX 3700 RR2 PEN R2             SC    ATN180000000000000100
P21328439600019800000000001353000000010051000SEM MILHO REFUGIO MAX 3700 RR2 PEN R3             SC    ATN180000000000000100
P21328439600019800000000001354000000010051000SEM MILHO SYGENTA MAXIMUS TLTG VIPTERA            SC    ATN180000000000000100
P21328439600019800000000001355000000010051000SEM MILHO SYN 8A98 FEROZ VIP3- TSI                SC    ATN180000000000000100
P21328439600019800000000001356000000012089000SEM NABO FORRAGEIRO 25 KG                         SC    ATN180000000000000100
P21328439600019800000000001357000000012089000SEM NABO FORRAGEIRO IPR 116 25KG                  SC    ATN180000000000000100
P21328439600019800000000001358000000012089000SEM NABO FORRAGEIRO IPR 116 30KG                  SC    ATN180000000000000100
P21328439600019800000000001359000000012089000SEM NABO FORRAGEIRO IPR 116 40KG                  SC    ATN180000000000000100
P21328439600019800000000001360000000012119090SEM PANICUM MAXIMUM CV MOMBACA PCT 10 KG          SC    ATN180000000000000100
P21328439600019800000000001361000000010021000SEM RX 110 1000KG                                 T     ATN180000000000000100
P21328439600019800000000001362000000010021000SEM RX 110 25KG                                   SC    ATN180000000000000100
P21328439600019800000000001363000000010021000SEM RX 110 30KG                                   SC    ATN180000000000000100
P21328439600019800000000001364000000010021000SEM RX 210 1000KG                                 T     ATN180000000000000100
P21328439600019800000000001365000000010021000SEM RX 210 25KG                                   SC    ATN180000000000000100
P21328439600019800000000001366000000010021000SEM RX 210 30KG                                   SC    ATN180000000000000100
P21328439600019800000000001367000000010041000SEM RX 210 SC 25 KG                               SC    ATN180000000000000100
P21328439600019800000000001368000000010021000SEM RX 220 1000KG                                 T     ATN180000000000000100
P21328439600019800000000001369000000010021000SEM RX 220 25KG                                   SC    ATN180000000000000100
P21328439600019800000000001370000000010021000SEM RX 330 1000KG                                 T     ATN180000000000000100
P21328439600019800000000001371000000010021000SEM RX 330 25KG                                   SC    ATN180000000000000100
P21328439600019800000000001372000000010021000SEM RX 330 30KG                                   SC    ATN180000000000000100
P21328439600019800000000001373000000010021000SEM RX 430 30KG                                   SC    ATN180000000000000100
P21328439600019800000000001374000000010021000SEM RX 440 1000KG                                 T     ATN180000000000000100
P21328439600019800000000001375000000010021000SEM RX 440 25 KG                                  SC    ATN180000000000000100
P21328439600019800000000001376000000010021000SEM RX 520 1000KG                                 T     ATN180000000000000100
P21328439600019800000000001377000000010021000SEM RX 520 25KG                                   SC    ATN180000000000000100
P21328439600019800000000001378000000012011000SEM SOJA  NEOGEN NEO 530 IPRO- SC 200MIL          SC    ATN180000000000000100
P21328439600019800000000001379000000012011000SEM SOJA  NEOGEN NEO 530 IPRO- SC 200MIL-TSI      SC    ATN180000000000000100
P21328439600019800000000001380000000012011000SEM SOJA 57HO121 SC RR PEN 5,5 - 28KG             SC    ATN180000000000000100
P21328439600019800000000001381000000012011000SEM SOJA 57HO121RR 200 MIL SEM.-TSI-JAURU RR      SC    ATN180000000000000100
P21328439600019800000000001382000000012011000SEM SOJA 57HO123 TP IPRO PEN 2 - JACUTINGA 200MIL SC    ATN180000000000000100
P21328439600019800000000001383000000012011000SEM SOJA 57HO123 TP IPRO PEN 5,5 - JACUTINGA 25KG SC    ATN180000000000000100
P21328439600019800000000001384000000012011000SEM SOJA 57HO123 TP IPRO PEN 5,5 - JACUTINGA 25KG SC    ATN180000000000000100
P21328439600019800000000001385000000012011000SEM SOJA 57HO123 TP IPRO PEN 5,5 - JACUTINGA 40KG SC    ATN180000000000000100
P21328439600019800000000001386000000012011000SEM SOJA 57HO123 TP IPRO PEN 6,5 - JACUTINGA 25KG SC    ATN180000000000000100
P21328439600019800000000001387000000012011000SEM SOJA 57HO123 TP IPRO PEN 6,5 - JACUTINGA 40KG SC    ATN180000000000000100
P21328439600019800000000001388000000012011000SEM SOJA 57HO123 TP IPRO PEN 6,5 - JACUTINGA 40KG SC    ATN180000000000000100
P21328439600019800000000001389000000012011000SEM SOJA 57I52RSF IPRO CAT S1 SC 125 MIL SEMENTES SC    ATN180000000000000100
P21328439600019800000000001390000000012011000SEM SOJA 58HO110 MM IPRO PEN 1 - AMAMBAY 25KG     SC    ATN180000000000000100
P21328439600019800000000001391000000012011000SEM SOJA 58HO110 MM IPRO PEN 2 - AMAMBAY 200MIL   SC    ATN180000000000000100
P21328439600019800000000001392000000012011000SEM SOJA 58HO110 MM IPRO PEN 5,5 - AMAMBAY 25KG- TSC    ATN180000000000000100
P21328439600019800000000001393000000012011000SEM SOJA 58HO124 EP RR 200 MIL SEM. - TSI - APAUE SC    ATN180000000000000100
P21328439600019800000000001394000000012011000SEM SOJA 58HO124 EP RR PEN 5,5 25KG - TSI - APAUE SC    ATN180000000000000100
P21328439600019800000000001395000000012011000SEM SOJA 58HO124 EP RR PEN P1 - APAUE RR 200MIL   SC    ATN180000000000000100
P21328439600019800000000001396000000012011000SEM SOJA 64I61 IPRO 40KG                          SC    ATN180000000000000100
P21328439600019800000000001397000000012011000SEM SOJA AS 3590 IPRO 40 KG                       SC    ATN180000000000000100
P21328439600019800000000001398000000012011000SEM SOJA AS 3590 IPRO 40 KG - TSI                 SC    ATN180000000000000100
P21328439600019800000000001399000000012011000SEM SOJA AS 3590 IPRO P1 40 KG                    SC    ATN180000000000000100
P21328439600019800000000001400000000012011000SEM SOJA AS 3590 IPRO P2 40 KG                    SC    ATN180000000000000100
P21328439600019800000000001401000000012011000SEM SOJA AS 3590 IPRO P2 40 KG - TSI              SC    ATN180000000000000100
P21328439600019800000000001402000000012011000SEM SOJA AS 3590 IPRO P2 40 KG - TSI 2            SC    ATN180000000000000100
P21328439600019800000000001403000000012011000SEM SOJA AS 3590 IPRO P3 40 KG                    SC    ATN180000000000000100
P21328439600019800000000001404000000012011000SEM SOJA AS 3590 IPRO P3 40 KG - TSI              SC    ATN180000000000000100
P21328439600019800000000001405000000012011000SEM SOJA AS 3680 IPRO 40 KG                       SC    ATN180000000000000100
P21328439600019800000000001406000000012011000SEM SOJA BMX 5953 RSF RR 40KG PN 6.5 (VELOZ)      SC    ATN180000000000000100
P21328439600019800000000001407000000012011000SEM SOJA BMX 6863 RSF RR 40KG PN P2 (TORNADO)TSI  SC    ATN180000000000000100
P21328439600019800000000001408000000012011000SEM SOJA BMX DELTA (59II60) IPRO PEN P.1 (5.5) 25 SC    ATN180000000000000100
P21328439600019800000000001409000000012011000SEM SOJA BMX DELTA (59II60) IPRO PEN P.1 (5.5) 40 SC    ATN180000000000000100
P21328439600019800000000001410000000012011000SEM SOJA BMX DELTA (59II60) IPRO PEN P.2 (6.5) 40 SC    ATN180000000000000100
P21328439600019800000000001411000000012011000SEM SOJA BMX ELITE 5855 IPRO 1000KG PEN 6.5       T     ATN180000000000000100
P21328439600019800000000001412000000012011000SEM SOJA BMX ELITE 5855 IPRO 25KG PEN 5.5         SC    ATN180000000000000100
P21328439600019800000000001413000000012011000SEM SOJA BMX ELITE 5855 IPRO 25KG PEN 6.5         SC    ATN180000000000000100
P21328439600019800000000001414000000012011000SEM SOJA BMX ELITE 5855 IPRO 25KG PEN 6.5 - TSI   SC    ATN180000000000000100
P21328439600019800000000001415000000012011000SEM SOJA BMX ELITE 5855 IPRO 40KG PEN 5.5         SC    ATN180000000000000100
P21328439600019800000000001416000000012011000SEM SOJA BMX ELITE 5855 IPRO 40KG PEN P.2 (6,5)   SC    ATN180000000000000100
P21328439600019800000000001417000000012011000SEM SOJA BMX GARRA 63I64 RSF IPRO 1000KG PEN 5,5  T     ATN180000000000000100
P21328439600019800000000001418000000012011000SEM SOJA BMX GARRA 63I64 RSF IPRO 1000KG PEN 5.5 -T     ATN180000000000000100
P21328439600019800000000001419000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.1 (5.5) 25KG  SC    ATN180000000000000100
P21328439600019800000000001420000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.1 (5.5) 25KG -SC    ATN180000000000000100
P21328439600019800000000001421000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.1 (5.5) 40KG -SC    ATN180000000000000100
P21328439600019800000000001422000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.1 (5.5) BAG 10SC    ATN180000000000000100
P21328439600019800000000001423000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.1 40KG        SC    ATN180000000000000100
P21328439600019800000000001424000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.2 (6.5) 25KG -SC    ATN180000000000000100
P21328439600019800000000001425000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.2 (6.5) 25KG -SC    ATN180000000000000100
P21328439600019800000000001426000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.2 (6.5) 40KG -SC    ATN180000000000000100
P21328439600019800000000001427000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.2 25KG        SC    ATN180000000000000100
P21328439600019800000000001428000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.2 40KG        SC    ATN180000000000000100
P21328439600019800000000001429000000012011000SEM SOJA BMX LANCA IPRO 58I60 PEN P.3 (7.0) 40KG  SC    ATN180000000000000100
P21328439600019800000000001430000000012011000SEM SOJA BMX POTENCIA RR 40KG PEN 5.5             SC    ATN180000000000000100
P21328439600019800000000001431000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.1 (5.5) 40KSC    ATN180000000000000100
P21328439600019800000000001432000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.1 (5.5) 40KSC    ATN180000000000000100
P21328439600019800000000001433000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.1 (5.5) BB T     ATN180000000000000100
P21328439600019800000000001434000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2  BB 1000KT     ATN180000000000000100
P21328439600019800000000001435000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (5.5) 25KSC    ATN180000000000000100
P21328439600019800000000001436000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.0)    SC    ATN180000000000000100
P21328439600019800000000001437000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.0) 40KSC    ATN180000000000000100
P21328439600019800000000001438000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.0) 40KSC    ATN180000000000000100
P21328439600019800000000001439000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.5) 25 SC    ATN180000000000000100
P21328439600019800000000001440000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.5) 25KSC    ATN180000000000000100
P21328439600019800000000001441000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.5) 40 SC    ATN180000000000000100
P21328439600019800000000001442000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.5) 40KSC    ATN180000000000000100
P21328439600019800000000001443000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.5) 40KSC    ATN180000000000000100
P21328439600019800000000001444000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.5) BB T     ATN180000000000000100
P21328439600019800000000001445000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 (6.5) BB UN    ATN180000000000000100
P21328439600019800000000001446000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 25KG     SC    ATN180000000000000100
P21328439600019800000000001447000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P.2 40KG     SC    ATN180000000000000100
P21328439600019800000000001448000000012011000SEM SOJA BMX RAIO 50I52 RSF IPRO PEN P1 (5,5) 25KGSC    ATN180000000000000100
P21328439600019800000000001449000000012011000SEM SOJA BMX VANGUARDA 6160 IPRO 40KG PEN 6.0     SC    ATN180000000000000100
P21328439600019800000000001450000000012011000SEM SOJA BMX VANGUARDA 6160 IPRO P 2 40KG         SC    ATN180000000000000100
P21328439600019800000000001451000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN  (7,5) 40KG -SC    ATN180000000000000100
P21328439600019800000000001452000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN (7.0) BB 800 UN    ATN180000000000000100
P21328439600019800000000001453000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.1  25KG    SC    ATN180000000000000100
P21328439600019800000000001454000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.1  25KG TSISC    ATN180000000000000100
P21328439600019800000000001455000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.1 (5,5) BB T     ATN180000000000000100
P21328439600019800000000001456000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.1 (5.5) 25KSC    ATN180000000000000100
P21328439600019800000000001457000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.1 (5.5) 40KSC    ATN180000000000000100
P21328439600019800000000001458000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.1 40KG     SC    ATN180000000000000100
P21328439600019800000000001459000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2  25KG    SC    ATN180000000000000100
P21328439600019800000000001460000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2  BB 1000KT     ATN180000000000000100
P21328439600019800000000001461000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2  BB 800KGUN    ATN180000000000000100
P21328439600019800000000001462000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2  TSI BB 8UN    ATN180000000000000100
P21328439600019800000000001463000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 (6.0) BB T     ATN180000000000000100
P21328439600019800000000001464000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 (6.0) SC SC    ATN180000000000000100
P21328439600019800000000001465000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 (6.5) 25KSC    ATN180000000000000100
P21328439600019800000000001466000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 (6.5) 25KSC    ATN180000000000000100
P21328439600019800000000001467000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 (6.5) 40 SC    ATN180000000000000100
P21328439600019800000000001468000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 (6.5) 40KSC    ATN180000000000000100
P21328439600019800000000001469000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 (6.5) 40KSC    ATN180000000000000100
P21328439600019800000000001470000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 (7.0) 25KSC    ATN180000000000000100
P21328439600019800000000001471000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 (7.0) BB T     ATN180000000000000100
P21328439600019800000000001472000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.2 40KG     SC    ATN180000000000000100
P21328439600019800000000001473000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P.3 (7.0) 40KSC    ATN180000000000000100
P21328439600019800000000001474000000012011000SEM SOJA BMX ZEUS 55I57 RSF IPRO PEN P2 (G) 40KG  SC    ATN180000000000000100
P21328439600019800000000001475000000012011000SEM SOJA BRASMAX PONTA 7166 RSF IPRO PEN 5.5 BB 10T     ATN180000000000000100
P21328439600019800000000001476000000012011000SEM SOJA BRASMAX PONTA 7166 RSF IPRO PEN 5.5 SC 40SC    ATN180000000000000100
P21328439600019800000000001477000000012011000SEM SOJA BS 1511 IPRO PEN 5.5 40KG TSI            SC    ATN180000000000000100
P21328439600019800000000001478000000012011000SEM SOJA BS 1511 IPRO PEN P.1 (5.5) 40KG          SC    ATN180000000000000100
P21328439600019800000000001479000000012011000SEM SOJA BS 1511 IPRO PEN P2  BB 1000KG           T     ATN180000000000000100
P21328439600019800000000001480000000012011000SEM SOJA BS 1511 IPRO PN 2 (6.5) 40KG             SC    ATN180000000000000100
P21328439600019800000000001481000000012011000SEM SOJA BS 1511 IPRO PN 6.5 25KG                 SC    ATN180000000000000100
P21328439600019800000000001482000000012011000SEM SOJA BS 1511 IPRO PN 6.5 25KG - TSI 2         SC    ATN180000000000000100
P21328439600019800000000001483000000012011000SEM SOJA BS 1519 LL P1 (5,5) 25KG                 SC    ATN180000000000000100
P21328439600019800000000001484000000012011000SEM SOJA BS 1519 LL P2 25KG                       SC    ATN180000000000000100
P21328439600019800000000001485000000012011000SEM SOJA BS 1519 LL P2 40KG                       SC    ATN180000000000000100
P21328439600019800000000001486000000012011000SEM SOJA BS 1519LL PEN P1 (5,5) 40KG              SC    ATN180000000000000100
P21328439600019800000000001487000000012011000SEM SOJA BS 1543  IPRO 200 MIL SEM.               SC    ATN180000000000000100
P21328439600019800000000001488000000012011000SEM SOJA BS 1543 IPRO PN 5.5 40KG                 SC    ATN180000000000000100
P21328439600019800000000001489000000012011000SEM SOJA BS 1543 IPRO PN 6.5 25KG TSI 2           SC    ATN180000000000000100
P21328439600019800000000001490000000012011000SEM SOJA BS 1543 IPRO PN P2 (6.5) 40KG            SC    ATN180000000000000100
P21328439600019800000000001491000000012011000SEM SOJA BS 1543 IPRO PN P2 25KG                  SC    ATN180000000000000100
P21328439600019800000000001492000000012011000SEM SOJA BS 1580 IPRO 40KG - TSI                  SC    ATN180000000000000100
P21328439600019800000000001493000000012011000SEM SOJA BS 1580 IPRO PEN P.2 (6,5) 40KG          SC    ATN180000000000000100
P21328439600019800000000001494000000012011000SEM SOJA BS 1580 IPRO PEN P.2(5,5) 40KG           SC    ATN180000000000000100
P21328439600019800000000001495000000012011000SEM SOJA BS 2606 IPRO 25KG PEN 6.5                SC    ATN180000000000000100
P21328439600019800000000001496000000012011000SEM SOJA BS 2606 IPRO 25KG PEN 6.5 - TSI          SC    ATN180000000000000100
P21328439600019800000000001497000000012011000SEM SOJA BS 2606 IPRO 25KG PEN 6.5 - TSI 2        SC    ATN180000000000000100
P21328439600019800000000001498000000012011000SEM SOJA BS 2606 IPRO 40KG PEN 5.5                SC    ATN180000000000000100
P21328439600019800000000001499000000012011000SEM SOJA BS 2606 IPRO 40KG PEN 6.5 - TSI          SC    ATN180000000000000100
P21328439600019800000000001500000000012011000SEM SOJA BS 2606 IPRO PEN 5.5 40KG - TSI          SC    ATN180000000000000100
P21328439600019800000000001501000000012011000SEM SOJA BS 2606 IPRO PEN 6.5 40KG                SC    ATN180000000000000100
P21328439600019800000000001502000000012011000SEM SOJA BS 2606 IPRO PEN 6.5 TSI 40KG            SC    ATN180000000000000100
P21328439600019800000000001503000000012011000SEM SOJA CZ 15B64 IPRO CP500 P1 5.5 - TSI 25KG    SC    ATN180000000000000100
P21328439600019800000000001504000000012011000SEM SOJA CZ 15B64 IPRO PN 6.5 - 25KG              SC    ATN180000000000000100
P21328439600019800000000001505000000012011000SEM SOJA CZ 15B92 IPRO CP500 PN 6.5 - TSI 25KG    SC    ATN180000000000000100
P21328439600019800000000001506000000012011000SEM SOJA CZ 26B42 IPRO 140 MIL SEM TSI            SC    ATN180000000000000100
P21328439600019800000000001507000000012011000SEM SOJA DM 53I54 RSF IPRO PEN 5,5 - (P.1) 40KG   SC    ATN180000000000000100
P21328439600019800000000001508000000012011000SEM SOJA DM 53I54 RSF IPRO PEN 5,5 - (P.1) 40KG TSSC    ATN180000000000000100
P21328439600019800000000001509000000012011000SEM SOJA DM 53I54 RSF IPRO PEN 6,0 - (P.1) 40 KG  SC    ATN180000000000000100
P21328439600019800000000001510000000012011000SEM SOJA DM 53I54 RSF IPRO PEN 6,0 - (P.2) 800KG  UN    ATN180000000000000100
P21328439600019800000000001511000000012011000SEM SOJA DM 53I54 RSF IPRO PEN 6,5 - (P.2) 25KG -TSC    ATN180000000000000100
P21328439600019800000000001512000000012011000SEM SOJA DM 53I54 RSF IPRO PEN 6,5 - (P.2) 40 KG TSC    ATN180000000000000100
P21328439600019800000000001513000000012011000SEM SOJA DM 53I54 RSF IPRO PEN 6,5 - (P.2) 40 KG TSC    ATN180000000000000100
P21328439600019800000000001514000000012011000SEM SOJA DM 53I54 RSF IPRO PEN 7,0 - (P 3) 40KG TSSC    ATN180000000000000100
P21328439600019800000000001515000000012011000SEM SOJA DM 53I54 RSF IPRO PEN P.2 40 KG          SC    ATN180000000000000100
P21328439600019800000000001516000000012011000SEM SOJA DM 54I52 RSF IPRO 40KG PEN 5,5           SC    ATN180000000000000100
P21328439600019800000000001517000000012011000SEM SOJA DM 54I52 RSF IPRO PEN 5,5 - TSI          SC    ATN180000000000000100
P21328439600019800000000001518000000012011000SEM SOJA DM 54I52 RSF IPRO PEN 6,5                SC    ATN180000000000000100
P21328439600019800000000001519000000012011000SEM SOJA DM 54I52 RSF IPRO PEN 6,5 - TSI          SC    ATN180000000000000100
P21328439600019800000000001520000000012011000SEM SOJA DM 57I52 RSF IPRO PEN (P1) 5,5 40 KG-TSI SC    ATN180000000000000100
P21328439600019800000000001521000000012011000SEM SOJA DM 57I52 RSF IPRO PEN (P1) 5,5 BAG 1000 KSC    ATN180000000000000100
P21328439600019800000000001522000000012011000SEM SOJA DM 57I52 RSF IPRO PEN (P2) 6,5 40 KG - TSSC    ATN180000000000000100
P21328439600019800000000001523000000012011000SEM SOJA DM 57I52 RSF IPRO PEN (P2) 6,5 40 KG-TSI SC    ATN180000000000000100
P21328439600019800000000001524000000012011000SEM SOJA DM 57I52 RSF IPRO PEN 6,5 - (P.2) 40 KG  SC    ATN180000000000000100
P21328439600019800000000001525000000012011000SEM SOJA DM 5958 RSF IPRO PEN 5,5 (P.1) - TSI     SC    ATN180000000000000100
P21328439600019800000000001526000000012011000SEM SOJA DM 5958 RSF IPRO PEN 5,5 (P.1) - TSI 2   SC    ATN180000000000000100
P21328439600019800000000001527000000012011000SEM SOJA DM 5958 RSF IPRO PEN 6,5 40 KG           SC    ATN180000000000000100
P21328439600019800000000001528000000012011000SEM SOJA DM 5958 RSF IPRO PEN 6,5 40 KG - TSI     SC    ATN180000000000000100
P21328439600019800000000001529000000012011000SEM SOJA DM 5958 RSF IPRO PEN 6,5 40 KG - TSI 2   SC    ATN180000000000000100
